nacionalidad,autor_id
American,368
,369
,370
,371
American,372
British,373
,374
,375
,376
American,377
,378
,379
American,380
,381
Italian-American,382
,383
American,384
American,385
,386
American,387
,388
,389
,390
English,391
,392
,393
,394
American,395
Canadian,396
,397
Irish,398
,399
English,400
,401
,402
,403
,404
,405
,406
,407
,408
British,409
American,410
American,411
English,412
American,413
Brazilian,414
,415
,416
American,417
,418
,419
,420
British,421
,422
,423
Canadian,424
,425
American,426
,427
,428
,429
,430
,431
,432
,433
,434
,435
,436
,437
American,438
,439
,440
English,441
,442
,443
,444
,445
,446
,447
,448
,449
American,450
American,451
American,452
Canadian,453
American,454
American,455
,456
American,457
,458
New,459
American,460
,461
,462
American,463
,464
American,465
American,466
Austrian,467
British,468
American,469
French,470
Evangelical,471
,472
Danish,473
,474
American,475
American,476
American,477
American,478
Italian,479
,480
American,481
,482
American,483
,484
American,485
,486
American,487
American,488
,489
,490
American,491
American,492
,493
American,494
,495
American,496
,497
,498
English,499
Austrian-British,500
English,501
American,502
,503
American,504
,505
Irish-born,506
English,507
American,508
,509
American,510
,511
American,512
,513
,514
,515
,516
American,517
American,518
Australian,519
,520
,521
,522
American,523
,524
,525
,526
English,527
American,528
American,529
,530
American,531
Japanese,532
British,533
,534
American,535
Convicted,536
,537
,538
,539
American,540
British,541
,542
,543
,544
,545
American,546
American,547
,548
,549
,550
,551
American,552
English,553
American,554
,555
British,556
,557
,558
Irish,559
American,560
American,561
,562
English,563
,564
British,565
English,566
,567
,568
,569
,570
,571
American,572
Japanese,573
American,574
Japanese,575
Unincorporated,576
,577
,578
British,579
,580
,581
French,582
,583
,584
,585
,586
British-American,587
,588
American,589
,590
American,591
,592
,593
,594
English,595
,596
American,597
American,598
Hong,599
American,600
,601
American,602
American,603
Irish,604
,605
,606
German,607
American,608
,609
American,610
,611
,612
American,613
"Educationalist,",614
American,615
Village,616
American,617
British,618
,619
American,620
,621
American,622
British,623
Japanese,624
American,625
American,626
American,627
,628
,629
Canadian,630
American,631
Japanese,632
,633
German,634
Australian,635
,636
American,637
American,638
,639
,640
American,641
American,642
American,643
American,644
,645
American,646
,647
,648
,649
,650
American,651
British,652
American,653
American,654
,655
,656
English,657
British,658
,659
,660
,661
,662
,663
,664
,665
American,666
American,667
,668
American,669
American,670
,671
British,672
British,673
British,674
British,675
,676
British,677
American-British,678
Japanese,679
American-born,680
American,681
English,682
,683
French,684
,685
Russian-American,686
English,687
American,688
German,689
,690
American,691
,692
,693
American,694
American,695
American,696
American,697
,698
American,699
,700
American,701
British,702
German-born,703
,704
American,705
American,706
American,707
,708
,709
,710
American,711
,712
,713
English,714
,715
Canadian,716
,717
American,718
Cooking,719
British,720
English,721
,722
,723
,724
English,725
,726
American,727
Mayflower,728
,729
Irish,730
,731
,732
,733
,734
American,735
,736
American,737
American,738
American,739
,740
,741
,742
British,743
Australian,744
,745
,746
American,747
American,748
American,749
,750
Swedish,751
Scottish,752
American,753
American,754
,755
American,756
American,757
American,758
,759
American,760
British,761
British,762
American,763
American,764
American,765
American,766
Australian,767
American,768
American,769
American,770
American,771
American,772
American,773
,774
,775
American,776
American,777
English,778
English,779
Canadian,780
Italian,781
American,782
French-British,783
American,784
American,785
American,786
,787
,788
,789
,790
American,791
American,792
Chinese-American,793
French-Iranian,794
,795
Canadian,796
American,797
,798
American,799
American-British,800
American,801
American-British,802
,803
American,804
,805
,806
American,807
Brazilian,808
American,809
American,810
American,811
American,812
,813
American,814
,815
,816
American,817
American,818
,819
American,820
American,821
,822
American,823
Italian,824
,825
American,826
,827
Pakistani,828
American,829
American,830
American,831
,832
American,833
,834
American,835
American,836
,837
American,838
American,839
,840
Japanese,841
American,842
American,843
,844
,845
,846
American,847
American,848
American,849
,850
,851
,852
,853
Canadian,854
,855
,856
,857
,858
,859
Austrian,860
,861
American,862
,863
,864
,865
,866
,867
Canadian,868
,869
Japanese,870
Australian,871
,872
American,873
Irish,874
American,875
Russian-Canadian,876
Irish-American,877
American,878
,879
American,880
,881
American-British,882
"Novelist,",883
,884
American,885
,886
,887
,888
English,889
English,890
British,891
English,892
,893
,894
,895
American,896
,897
,898
English,899
Japanese,900
,901
American,902
,903
,904
,905
British,906
,907
American,908
,909
American,910
,911
,912
,913
,914
,915
,916
Canadian,917
American,918
,919
,920
English,921
American,922
,923
Scottish-Zimbabwean,924
,925
,926
,927
,928
,929
,930
Ancient,931
,932
American,933
,934
,935
,936
American,937
,938
,939
,940
,941
English,942
,943
,944
House,945
,946
Iranian-American,947
American,948
,949
British,950
English,951
American,952
American,953
American,954
English,955
American,956
,957
American,958
American,959
American,960
,961
Spanish,962
American,963
,964
,965
American,966
,967
British,968
Canadian,969
,970
Chinese-American,971
,972
,973
American,974
,975
,976
,977
,978
,979
English,980
,981
,982
,983
American,984
,985
,986
,987
,988
,989
English,990
Scottish,991
American,992
,993
German,994
British,995
,996
,997
American,998
English,999
