ano_nacimiento,nombre,fecha_creacion,total_obras,autor_id
1934,Eric Hebborn,,4,70
1949,A. C. Grayling,2008-04-01T03:28:50.625462,86,71
1944,William Martin,2008-10-17T11:50:18.852959,20,72
1984,Marie Kondō,2015-01-31T18:01:59.592921,22,73
,David Brackett,,3,74
1894,"Graham, Benjamin",2008-04-01T03:28:50.625462,48,75
1976,Brian K. Vaughan,2008-04-01T03:28:50.625462,299,76
,,,,77
,,,,78
1979,Kurtis J. Wiebe,2019-05-24T01:21:50.108831,7,79
,,,,80
,E. D. Baker,2008-04-01T03:28:50.625462,38,81
,,,,82
,,,,83
1924,Isabel Miller,2008-04-01T03:28:50.625462,14,84
,Erin Hunter,2008-04-01T03:28:50.625462,241,85
,,,,86
,Fauzia Burke,2019-07-19T17:02:03.511903,1,87
,,2020-11-24T04:38:25.455496,26,88
1948,Amanda Quick,2008-04-01T03:28:50.625462,310,89
,,,,90
1977,Stephanie Burgis,2009-09-18T20:57:11.196327,24,91
,,,,92
1991,,2015-11-13T15:16:18.735353,37,93
1991,,2015-11-13T15:16:18.735353,37,94
1991,,2015-11-13T15:16:18.735353,37,95
1948,Pochi Yeh,,10,96
,Eric Dominy,,17,97
,,2020-08-13T13:04:06.146505,217,98
,,2020-08-17T20:52:20.106857,5,99
,,2021-05-06T18:22:43.825609,3,100
,,,120,101
,,,,102
,Randy J. Paterson,,7,103
,,,,104
1976,John Allison,2019-05-13T09:35:42.997666,14,105
1910,Betty Neels,2008-04-01T03:28:50.625462,300,106
1886,Olaf Stapledon,2008-04-01T03:28:50.625462,104,107
1963,"James, E. L.",2012-03-15T23:07:06.804942,29,108
,,,,109
,,,,110
,,,,111
1986,Sarah J. Maas,2012-04-25T09:48:38.192850,58,112
,,,,113
,,,,114
,,2019-10-05T19:03:07.119404,5,115
1948,"Gibson, William",2008-04-01T03:28:50.625462,46,116
1970,,2011-04-06T17:53:01.151689,4,117
1970,Kelly Sue DeConnick,2008-04-30T09:38:13.731961,76,118
,,,,119
1984,Brian Christian,2011-03-01T21:34:48.940104,6,120
,,,,121
,,,,122
,,2016-07-25T22:35:33.520082,12,123
,John H. Beauvais,,4,124
,,,,125
1986,Sarah J. Maas,2012-04-25T09:48:38.192850,58,126
,,,,127
1970,James K. A. Smith,,24,128
1977,,2013-08-13T14:49:41.498679,24,129
,,,,130
,James McDonald,2008-10-20T14:59:53.750788,75,131
1986,Sarah J. Maas,2012-04-25T09:48:38.192850,58,132
,,2008-04-29T13:35:46.876380,20,133
1975,Jay Asher,2008-04-30T09:38:13.731961,37,134
,,,,135
1947,"Steel, Danielle.",2008-04-01T03:28:50.625462,780,136
,Emma Straub,2011-10-27T10:35:08.957941,22,137
1928,"Toffler, Alvin.",2008-04-01T03:28:50.625462,68,138
1835,Mark Twain,2008-04-01T03:28:50.625462,7386,139
,,2008-04-30T09:38:13.731961,107,140
,,,,141
,,,7,142
1967,Jon Ronson,2008-04-01T03:28:50.625462,25,143
,,,,144
,,,,145
,,2021-02-09T05:46:29.689814,130,146
,,,,147
1890,Agatha Christie,2008-04-01T03:28:50.625462,1211,148
1979,Elle Kennedy,2009-11-24T10:24:43.895835,92,149
,,,,150
,,,,151
,Laura Tillman,2019-07-19T12:16:51.205566,2,152
1965,Khaled Hosseini,2008-04-01T03:28:50.625462,44,153
1906,,2008-04-30T09:38:13.731961,52,154
,,2008-04-29T15:03:11.581851,275,155
1972,Paula Hawkins,2008-04-29T15:03:11.581851,17,156
1959,Jennifer Ackerman,2008-04-01T03:28:50.625462,14,157
,,2025-04-29T14:47:15.809576,1,158
,Shelly Jaronsky,2019-07-19T12:58:48.056122,1,159
,,2021-09-18T10:14:30.253934,5,160
1948,Julia Cameron,2008-04-01T03:28:50.625462,92,161
,Sunzi,2008-04-01T03:28:50.625462,328,162
1973,Maggie Nelson,2008-04-01T03:28:50.625462,16,163
,Patrick J. McGinnis,2019-07-19T14:43:14.314668,3,164
1959,Julia London,2008-04-01T03:28:50.625462,275,165
,,2019-10-30T04:38:14.527112,6,166
,,,,167
1967,Jon Ronson,2008-04-01T03:28:50.625462,25,168
1938,Philip H. Knight,2010-03-12T04:57:05.100224,9,169
,,,,170
,,,,171
,Anna Breslaw,2019-07-19T12:56:15.701652,2,172
,,2021-11-02T18:56:04.929112,3,173
1947,Francine Rivers,2008-04-01T03:28:50.625462,156,174
,Justin Martin,,51,175
1947,Anthony Holden,2008-04-01T03:28:50.625462,43,176
,,,,177
1988,Ocean Vuong,2019-07-19T12:17:08.404158,10,178
,Victoria Kelly,2019-05-15T08:23:08.947216,8,179
1983,Aziz Ansari,2016-09-13T16:16:56.490326,4,180
,,,,181
1832,Louisa May Alcott,2008-04-01T03:28:50.625462,2231,182
,,,,183
1979,Ransom Riggs,2008-10-07T23:52:28.122230,106,184
,,,,185
,,2019-10-04T04:02:11.143928,3,186
,,,,187
,,,,188
,,,10,189
,,2008-04-29T15:03:11.581851,275,190
,"Edwards, Mark",2020-09-21T00:36:54.391720,2,191
,Paul Chappell,,68,192
1947,"King, Stephen",2008-04-01T03:28:50.625462,611,193
,Aesop.,2008-04-01T03:28:50.625462,1419,194
,,,,195
,Daniel H. Pink,2008-04-01T03:28:50.625462,44,196
,,2021-11-02T20:35:56.234885,3,197
,,2016-10-14T12:40:12.163954,66,198
1991,Ella Mills,2019-05-24T00:47:08.302689,5,199
,,,,200
1965,C. Brené Brown,2008-04-30T09:38:13.731961,57,201
,Christina Dodd,2008-04-01T03:28:50.625462,258,202
,Crystal McVea,2019-07-18T02:37:15.267096,3,203
,David Joseph Schwartz,2008-04-01T03:28:50.625462,27,204
,,,9,205
,Mary Mothersill,,3,206
1953,"Moore, Alan",2008-04-01T03:28:50.625462,286,207
1953,"Moore, Alan",2008-04-01T03:28:50.625462,286,208
,,2019-10-15T09:19:39.138187,4,209
,,2021-10-11T07:08:11.904180,6,210
,,2021-10-17T01:47:12.243675,2,211
,"Brown, Tanya",2022-07-30T04:37:34.041236,1,212
,,2023-04-18T12:47:00.678626,1,213
1915,Khushwant Singh,2008-04-01T03:28:50.625462,250,214
1972,,2008-04-29T13:35:46.876380,25,215
,,2020-12-04T12:03:35.692918,12,216
1975,Leigh Bardugo,2011-11-04T09:11:43.335968,40,217
1952,Jung Chang,2008-04-01T03:28:50.625462,9,218
,,,,219
,,2019-11-02T18:09:00.155657,3,220
,,,,221
,,,,222
,,,,223
1953,"Moore, Alan",2008-04-01T03:28:50.625462,286,224
,,,,225
1967,Laura Hillenbrand,2008-04-01T03:28:50.625462,15,226
1949,Jane Smiley,2008-04-01T03:28:50.625462,154,227
,,,,228
,,2017-07-22T11:10:17.338014,31,229
1934,Joan Didion,2008-09-02T02:26:21.434041,59,230
1933,David G. McCullough,2008-04-29T13:35:46.876380,69,231
1954,Philippa Gregory,2008-04-01T03:28:50.625462,329,232
,Katee Robert,2019-05-24T01:22:27.231923,125,233
1958,Mitch Albom,2008-04-01T03:28:50.625462,56,234
,,,,235
,,2018-06-02T21:27:13.169685,42,236
,,2021-05-30T21:23:13.898356,4,237
1978,Madeline Miller,2008-04-01T03:28:50.625462,7,238
1956,Graeme C. Simsion,2008-04-01T03:28:50.625462,17,239
,Charles Duhigg,2011-07-30T12:53:03.421693,19,240
1952,Alice Hoffman,2008-04-01T03:28:50.625462,85,241
1933,Philip G. Zimbardo,2008-04-01T03:28:50.625462,148,242
,,,,243
,,,,244
,,,,245
1960,David Baldacci,2008-04-01T03:28:50.625462,184,246
1972,Rebecca Skloot,2009-09-03T13:34:59.507513,7,247
1964,Rick Riordan,2008-04-01T03:28:50.625462,172,248
,Ruby Roth,2009-04-28T02:05:21.311378,7,249
1960,David Baldacci,2008-04-01T03:28:50.625462,184,250
1967,Joel C. Rosenberg,2008-04-01T03:28:50.625462,37,251
1952,Alice Hoffman,2008-04-01T03:28:50.625462,85,252
,,,,253
1973,"Clare, Cassandra",2008-04-29T15:03:11.581851,454,254
1957,Joshua Hammer,2008-04-29T15:03:11.581851,11,255
1955,Steve Berry,2008-04-01T03:28:50.625462,89,256
,Gitta Sereny,2008-04-01T03:28:50.625462,25,257
,Sarah Hilary,2019-07-19T05:19:14.816405,19,258
1904,"Cook, Ida",2008-04-01T03:28:50.625462,130,259
1934,Piers Anthony,2008-04-01T03:28:50.625462,285,260
1960,"Morrison, Grant.",2008-04-01T03:28:50.625462,347,261
,Anna Quindlen,2008-04-01T03:28:50.625462,151,262
1952,Walter Isaacson,2008-04-01T03:28:50.625462,23,263
,,,,264
1916,"Dahl, Roald.",2008-04-01T03:28:50.625462,751,265
,Gō Ikeyamada,2019-05-23T06:01:20.409612,28,266
,Jem Lester,2019-07-19T23:04:50.876178,2,267
1954,Cynthia Rylant,2008-04-01T03:28:50.625462,283,268
1921,Patricia Highsmith,2008-04-01T03:28:50.625462,370,269
1978,"King, Tom",2008-04-01T03:28:50.625462,143,270
,,,,271
,Jerry Dennis,,21,272
,,2020-08-24T06:47:34.699107,2,273
1947,"King, Stephen",2008-04-01T03:28:50.625462,611,274
1920,"Hailey, Arthur.",2008-04-01T03:28:50.625462,21,275
,,,,276
1971,Jeff Kinney,2008-04-29T15:03:11.581851,126,277
,,,,278
1974,Masashi Kishimoto,2008-04-29T15:03:11.581851,712,279
1956,Elizabeth Strout,2008-04-01T03:28:50.625462,36,280
,,2021-06-22T03:45:19.833622,1,281
,Robin Reul,2019-07-19T13:49:18.758670,2,282
1947,"King, Stephen",2008-04-01T03:28:50.625462,611,283
,Alec Robertson,2011-08-08T19:44:39.967555,22,284
,,,23,285
,Terry Farish,,14,286
1983,Jessica Knoll,2016-07-19T18:30:42.691200,9,287
,Cathy Camper,,11,288
,,2008-04-29T15:03:11.581851,10,289
1901,Barbara Cartland,2008-04-01T03:28:50.625462,756,290
,,,,291
,,,,292
1973,"Clare, Cassandra",2008-04-29T15:03:11.581851,454,293
1972,Gwyneth Paltrow,2008-04-30T09:38:13.731961,22,294
1916,John Clagett,2008-04-01T03:28:50.625462,18,295
,,2016-10-14T20:53:25.506015,3,296
,Terry Hayes,,21,297
,,2014-04-02T07:46:29.605708,8,298
,Becca Fitzpatrick,2009-05-15T13:27:30.323513,84,299
,Katie Ruggle,2019-05-23T21:16:11.600125,18,300
1949,Ron Chernow,2008-04-01T03:28:50.625462,18,301
,,,,302
1960,Neil Gaiman,2008-04-01T03:28:50.625462,503,303
,Kathleen Grissom,2009-05-16T10:43:33.997501,9,304
,,,,305
1841,"Hudson, W. H.",2008-04-01T03:28:50.625462,283,306
,Tamara Ireland Stone,2012-02-29T12:10:41.363437,18,307
1975,Curtis Sittenfeld,2008-04-01T03:28:50.625462,30,308
,,,,309
,,,,310
,Jason Wrobel,2019-07-19T13:22:20.562289,1,311
,Mary G. Enig,,3,312
,Kurt Dinan,2019-07-19T13:49:02.136680,4,313
1947,"King, Stephen",2008-04-01T03:28:50.625462,611,314
1964,Rick Riordan,2008-04-01T03:28:50.625462,172,315
,,2020-04-23T16:35:29.419320,16,316
,,2022-06-17T18:11:15.809096,1,317
,Francis Chan,2010-01-21T08:07:07.579426,60,318
1940,Jeffrey Archer,2008-04-01T03:28:50.625462,187,319
1964,Elizabeth Wein,2008-04-01T03:28:50.625462,53,320
1973,"Clare, Cassandra",2008-04-29T15:03:11.581851,454,321
1973,"Clare, Cassandra",2008-04-29T15:03:11.581851,454,322
1973,"Clare, Cassandra",2008-04-29T15:03:11.581851,454,323
1973,"Clare, Cassandra",2008-04-29T15:03:11.581851,454,324
1973,"Clare, Cassandra",2008-04-29T15:03:11.581851,454,325
1947,"King, Stephen",2008-04-01T03:28:50.625462,611,326
,,2012-04-13T19:29:16.866407,17,327
,Rainbow Rowell,2010-12-04T09:05:46.034827,86,328
1947,"King, Stephen",2008-04-01T03:28:50.625462,611,329
,,,,330
,Susannah Cahalan,2012-04-18T10:11:21.174187,8,331
1953,"Moore, Alan",2008-04-01T03:28:50.625462,286,332
,,,,333
1948,Ina Garten,2008-04-01T03:28:50.625462,28,334
,Megan Atwood,2011-07-25T15:34:19.391745,137,335
,Shaun Simon,2019-07-19T05:20:39.516802,13,336
1954,Benjamin Alire Sáenz,2008-11-04T06:06:55.764751,57,337
1963,Karen Kingsbury,2008-04-01T03:28:50.625462,140,338
1964,Dan Brown,2008-04-01T03:28:50.625462,46,339
1973,Anthony Doerr,2008-04-01T03:28:50.625462,24,340
,,,,341
,,,29,342
1907,I. F. Stone,2008-04-01T03:28:50.625462,31,343
1859,"Doyle, Arthur Conan",2008-04-01T03:28:50.625462,9188,344
,Mary Elizabeth Williams,2009-10-10T04:50:34.666571,4,345
1922,Howard Zinn,2008-04-29T13:35:46.876380,167,346
,,2019-10-09T23:11:04.916279,80,347
1912,Barbara Wertheim Tuchman,2008-04-01T03:28:50.625462,77,348
,,2010-07-01T05:01:10.160327,34,349
,Charles C. Mann,2008-04-01T03:28:50.625462,16,350
,,2021-10-08T07:40:25.447834,1,351
,,2022-10-17T16:04:44.939454,3,352
,Daniel O'Malley,2011-07-27T00:55:34.685215,12,353
1948,Ruth Reichl,2008-04-01T03:28:50.625462,26,354
1962,,2008-04-29T13:35:46.876380,18,355
,Nora Zelevansky,2012-03-21T21:19:29.179126,5,356
,Anthony D. Barnosky,,8,357
,,2018-06-02T21:27:13.169685,42,358
,,,,359
1966,David Dyer,2019-07-19T12:31:17.969130,1,360
1977,Olivia Laing,2011-07-30T12:01:24.481007,6,361
,,2020-06-02T01:55:12.660008,4,362
,Jeanne Safer,,8,363
1940,Jean Lorrah,2008-04-01T03:28:50.625462,69,364
1927,Neil Simon,2009-02-18T02:48:41.511919,49,365
1929,Anne Frank,2008-04-01T03:28:50.625462,197,366
1858,E. Nesbit,2008-04-01T03:28:50.625462,281,367
1984,Marissa Meyer,2011-11-16T08:42:44.586982,47,368
,,2025-03-31T17:53:48.714101,1,369
,"Norris, Donald",2019-07-19T05:24:43.305840,2,370
1949,James Koch,2019-07-19T17:02:17.938792,1,371
1964,Bret Easton Ellis,2008-04-01T03:28:50.625462,25,372
1946,Mildred Grieveson,2008-04-30T09:38:13.731961,446,373
1973,Livia Dare,2008-04-29T13:35:46.876380,275,374
,,,,375
,,,9,376
1964,Celeste Bradley,2008-04-01T03:28:50.625462,31,377
1991,,2021-05-03T14:07:15.268253,30,378
,Sally Cook,2019-05-23T20:43:58.682144,11,379
1938,Iris Johansen,2008-04-01T03:28:50.625462,477,380
,,2016-07-29T15:33:57.759325,3,381
,Giada De Laurentiis,,39,382
,,2019-11-02T19:12:48.203574,7,383
,Rainbow Rowell,2010-12-04T09:05:46.034827,86,384
1913,Gene Zion,2008-04-01T03:28:50.625462,39,385
,,,,386
,Nevada Barr,2008-04-01T03:28:50.625462,87,387
,,2019-03-27T02:32:27.574438,13,388
,,,,389
,,2015-09-24T22:00:52.762125,2,390
1902,Georgette Heyer,2008-04-01T03:28:50.625462,85,391
1950,"Huffington, Arianna Stassinopoulos",2008-04-01T03:28:50.625462,27,392
,,,,393
,,,,394
,Morgan Matson,2010-01-21T12:52:45.864040,29,395
1973,Sylvain Neuvel,2008-09-15T17:57:00.218974,24,396
1913,"Wilson, Angus",2008-04-01T03:28:50.625462,102,397
1974,Derek Landy,2008-04-29T13:35:46.876380,145,398
,,,,399
,Graham Swift,2008-10-17T08:42:10.041620,37,400
,,,,401
,,,,402
,,2016-07-21T00:51:51.168955,8,403
,,2019-10-08T01:58:51.346183,17,404
,,2017-03-17T22:34:50.971199,5,405
,Lisa Beazley,2019-07-19T10:36:25.219647,2,406
,Mark Wolynn,2019-05-24T06:21:16.251786,3,407
1963,"James, E. L.",2012-03-15T23:07:06.804942,29,408
1971,Mohsin Hamid,2008-04-01T03:28:50.625462,34,409
,Rosemary Carter,2008-04-01T03:28:50.625462,84,410
,Tracy Wolff,,62,411
1994,Alice Oseman,2019-07-19T22:48:02.648074,24,412
1950,William R. Forstchen,2008-04-01T03:28:50.625462,75,413
1947,Paulo Coelho,2008-04-01T03:28:50.625462,766,414
,,2018-07-11T20:36:03.506810,2,415
,,,,416
1947,"King, Stephen",2008-04-01T03:28:50.625462,611,417
1971,Dan Harris,2019-05-24T00:49:41.517454,4,418
,,2018-12-30T06:23:57.103760,6,419
,,,,420
1953,"Moore, Alan",2008-04-01T03:28:50.625462,286,421
,Catherine Carrigan,,7,422
,,,,423
1955,William P. Young,2017-05-01T23:42:56.115571,11,424
,,2021-08-11T02:20:28.989803,3,425
1950,Mollie Katzen,,34,426
,,,,427
1963,BRIAN GREENE,2008-04-29T13:35:46.876380,28,428
,,,,429
,,,6,430
,,2021-06-22T11:34:18.698404,1,431
,,2019-10-25T17:23:27.141739,17,432
,,2021-08-11T13:40:24.483593,4,433
,,,,434
,,2020-10-25T20:00:05.208444,2,435
,,,,436
,,,,437
1956,David Sedaris,2008-04-01T03:28:50.625462,37,438
,,2020-09-17T19:02:20.426988,179,439
,Andrew Leatherbarrow,2017-06-24T02:35:02.983108,7,440
1834,"Morris, William",2008-04-01T03:28:50.625462,527,441
,,,,442
,,2021-09-09T00:25:31.010832,2,443
,,2021-07-02T23:48:42.761086,1,444
,,2008-04-29T15:03:11.581851,5,445
,,2019-02-04T23:45:02.567508,19,446
1977,,2016-07-19T18:24:45.650779,1,447
,,,10,448
1962,Rachel Joyce,2012-01-25T10:56:17.860287,37,449
1926,Betty Edwards,,32,450
,Skip Hollandsworth,2019-05-13T12:35:29.545007,2,451
1972,Andy Weir,2015-03-09T15:32:32.077510,13,452
1963,Yann Martel,2008-04-01T03:28:50.625462,19,453
1971,Gillian Flynn,2008-04-01T03:28:50.625462,43,454
,Michael E. Gerber,,52,455
,Dana Elmendorf,2019-07-19T12:56:16.655781,2,456
,Charles Duhigg,2011-07-30T12:53:03.421693,19,457
,Anita Krishan,2022-12-19T01:38:42.095488,8,458
1940,Robyn Donald,2008-04-01T03:28:50.625462,230,459
,Victoria Jamieson,2008-11-16T09:19:18.474392,13,460
1965,C. Brené Brown,2008-04-30T09:38:13.731961,57,461
,,,22,462
,Legs McNeil,,14,463
,,,,464
,Huntley Fitzpatrick,2011-10-22T09:14:05.007768,12,465
,Anna Quindlen,2008-04-01T03:28:50.625462,151,466
1905,Viktor Emil Frankl,2008-10-31T19:40:01.378223,139,467
,Linda Lewis,,65,468
,Michael S. Hyatt,,10,469
1821,Charles Baudelaire,2008-04-01T03:28:50.625462,1268,470
1926,Tim F. LaHaye,2008-04-01T03:28:50.625462,444,471
1957,"McBride, James",2008-04-01T03:28:50.625462,42,472
1813,Søren Kierkegaard,2008-04-01T03:28:50.625462,1077,473
,,,,474
1965,Jandy Nelson,2009-07-27T00:23:00.077816,12,475
1962,Harlan Coben,2008-04-01T03:28:50.625462,72,476
,David Means,2008-12-19T17:56:54.537679,16,477
1926,"Ginsberg, Allen",2008-04-01T03:28:50.625462,301,478
1932,Umberto Eco,2008-04-01T03:28:50.625462,511,479
,,2010-11-19T02:05:43.480089,34,480
1928,"Toffler, Alvin.",2008-04-01T03:28:50.625462,68,481
,,,,482
,Sharman Apt Russell,2008-04-01T03:28:50.625462,27,483
,,,10,484
,Eric Jay Dolin,,22,485
,,2008-04-29T13:35:46.876380,279,486
1975,Ta-Nehisi Coates,2008-04-30T09:38:13.731961,67,487
,Atul Gawande,2008-04-01T03:28:50.625462,20,488
,Ken Corbett,2009-02-18T01:06:09.065431,10,489
,,,9,490
1958,Annette Gordon-Reed,2008-04-01T03:28:50.625462,20,491
1965,Jen Sincero,2008-04-29T15:03:11.581851,33,492
,,2023-02-17T02:53:44.456402,2,493
1951,Mary Ellis,2008-12-11T22:31:38.506319,27,494
,,2020-08-04T21:23:02.238299,9,495
1940,Frances Mayes,2008-04-01T03:28:50.625462,46,496
,,,,497
1968,"Jacobs, A. J.",2008-04-01T03:28:50.625462,25,498
1948,Julia Donaldson,2008-04-01T03:28:50.625462,651,499
1909,E. H. Gombrich,2008-04-01T03:28:50.625462,220,500
1809,Charles Darwin,2008-04-01T03:28:50.625462,1993,501
1896,F. Scott Fitzgerald,2008-04-01T03:28:50.625462,1276,502
1978,,2016-07-19T00:43:24.314543,54,503
1960,Jeannette Walls,2008-04-01T03:28:50.625462,17,504
,,2016-04-11T18:02:00.156145,6,505
1964,Caitlín R. Kiernan,2008-04-01T03:28:50.625462,114,506
1954,Philippa Gregory,2008-04-01T03:28:50.625462,329,507
1927,Robert Ludlum,2008-04-01T03:28:50.625462,761,508
1981,Rachel McMillan,2019-05-24T09:38:57.161562,3,509
,R. Crumb,2008-04-29T15:03:11.581851,208,510
,,,,511
1943,Doris Kearns Goodwin,2008-04-01T03:28:50.625462,12,512
,,,,513
1903,"Nee, Watchman.",2008-04-01T03:28:50.625462,251,514
,,,,515
,,,,516
1947,Robert T. Kiyosaki,2008-04-01T03:28:50.625462,279,517
1964,Kate DiCamillo,2008-04-01T03:28:50.625462,107,518
1961,"Reynolds, Peter",2008-04-01T03:28:50.625462,26,519
,,,,520
,Allyson Kramer,2012-02-08T10:49:32.495221,4,521
,Meghann Foye,2019-07-19T14:01:40.741767,3,522
1956,"Golden, Arthur",2008-04-29T13:35:46.876380,3,523
,,,,524
,,,,525
,,,,526
1906,Eleanor Alice Burford Hibbert,2008-04-01T03:28:50.625462,343,527
1933,David G. McCullough,2008-04-29T13:35:46.876380,69,528
,Mark Bittman,2008-04-01T03:28:50.625462,52,529
,,,,530
,Jennifer Weiner,2008-04-01T03:28:50.625462,98,531
1973,Natsuki Takaya,2008-04-01T03:28:50.625462,94,532
1946,Mildred Grieveson,2008-04-30T09:38:13.731961,446,533
,,2021-10-18T16:50:58.813959,4,534
1978,Seanan McGuire,2010-05-06T23:32:52.956260,309,535
,Edith Maxwell,,25,536
,Connilyn Cossette,2019-05-23T22:34:14.110802,27,537
,,,,538
1971,Donald Miller,2008-04-01T03:28:50.625462,98,539
1706,"Franklin, Benjamin",2008-04-01T03:28:50.625462,1557,540
1963,Sarah Bakewell,2008-04-01T03:28:50.625462,19,541
,Marilyn Brant,2010-03-19T03:27:01.899826,14,542
,,,,543
1987,,2011-10-04T16:57:46.868097,47,544
,,,,545
1904,William L. Shirer,2008-04-01T03:28:50.625462,93,546
1970,Stephen Chbosky,2008-04-01T03:28:50.625462,9,547
,,,,548
,,,,549
,,2021-04-11T02:44:01.014449,1,550
1877,Irma (von Starkloff) Rombauer,2008-04-01T03:28:50.625462,19,551
,Sue Monk Kidd,2008-04-01T03:28:50.625462,63,552
1892,J. R. R. Tolkien,2008-04-01T03:28:50.625462,415,553
1941,Paul Theroux,2008-09-01T14:30:30.625333,265,554
,Paul Harrison,,396,555
1941,Richard Dawkins,2008-04-01T03:28:50.625462,132,556
,,,,557
,,,,558
1920,A. Norman Jeffares,2008-04-01T03:28:50.625462,179,559
1948,Ina Garten,2008-04-01T03:28:50.625462,28,560
,Carol Rifka Brunt,2012-06-27T07:33:45.451892,8,561
,,,,562
1775,"Austen, Jane",2008-04-01T03:28:50.625462,2215,563
1933,Oliver W. Sacks,2008-04-01T03:28:50.625462,46,564
1898,C. S. Lewis,2008-04-01T03:28:50.625462,1427,565
1969,Jojo Moyes,2008-04-01T03:28:50.625462,72,566
1973,"French,Tana",2008-04-29T13:35:46.876380,55,567
,,,,568
,,,,569
,,2020-08-04T13:07:53.989388,6,570
1969,,2019-10-03T04:51:46.196284,12,571
1960,Alison Bechdel,2009-02-18T23:27:21.510505,27,572
1973,Natsuki Takaya,2008-04-01T03:28:50.625462,94,573
1964,Dan Brown,2008-04-01T03:28:50.625462,46,574
,Tsugumi Ōba,2008-04-29T15:03:11.581851,112,575
,"Dixon, Simon",,11,576
,,,,577
,,,,578
1939,Peter Mayle,2008-04-01T03:28:50.625462,240,579
,,,,580
,,,,581
1971,Thomas Piketty,2008-04-01T03:28:50.625462,58,582
,,,103,583
,,,,584
,,,,585
,,,,586
1849,Frances Hodgson Burnett,2008-04-01T03:28:50.625462,2104,587
,,2018-12-08T04:16:14.760456,6,588
1981,Maggie Stiefvater,2008-09-26T13:58:10.764474,36,589
,,,,590
1958,"Kuper, Peter",,25,591
,William Geroux,2019-07-19T13:18:04.847156,3,592
,,,,593
,,,,594
1942,S. W. Hawking,2008-04-29T13:35:46.876380,89,595
,,,,596
1977,John Green,2008-09-24T12:09:56.469720,32,597
,Jennifer A. Nielsen,2011-07-26T16:43:48.744852,94,598
,Janice Y. K. Lee,2008-12-12T09:47:45.990145,7,599
1981,Maggie Stiefvater,2008-09-26T13:58:10.764474,36,600
,"Haynes, Elizabeth",2008-04-01T03:28:50.625462,27,601
1968,Kwame Alexander,2008-04-01T03:28:50.625462,54,602
,Richard Yancey,2008-04-01T03:28:50.625462,23,603
,Sarah Rees Brennan,2008-11-16T06:55:40.509723,76,604
